bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num
way/127871762-500,way/127871762,500.0,f,Substation,f,way/127871762,114.5371075181218,38.244620822618266,CN,500.0
way/148727570-500,way/148727570,500.0,f,Substation,f,way/148727570,116.7357799710711,40.23686401490514,CN,500.0
way/178865921-500,way/178865921,500.0,f,Substation,f,way/178865921,105.84402816012648,26.221368237014666,CN,500.0
way/251393861-500,way/251393861,500.0,f,Substation,f,way/251393861,121.95738134645978,43.58251986132596,CN,500.0
way/462823764-500,way/462823764,500.0,f,Substation,f,way/462823764,111.91271228052884,21.989331758033583,CN,500.0
way/568247904-750,way/568247904,750.0,f,Substation,f,way/568247904,89.12560977878259,44.66249424308568,CN,750.0
way/1347514254-500,way/1347514254,500.0,f,Substation,f,way/1347514254,114.19413545007455,33.61002341615537,CN,500.0
way/858207240-500,way/858207240,500.0,f,Substation,f,way/858207240,111.43887067246216,40.43871386793956,CN,500.0
way/899674815-750,way/899674815,750.0,f,Substation,f,way/899674815,100.46890056048989,36.11455069014589,CN,750.0
way/966809494-500,way/966809494,500.0,f,Substation,f,way/966809494,119.58662685561389,26.91864961632385,CN,500.0
CN7501-500,CN7501,500.0,f,Substation,f,CN7501,110.9981566105884,30.81332652472457,CN,500.0
